Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_adv.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 12, 850, [0.37481818, 0.15986131, 0.653817])
('Accuracy', 12, 'Test', array([0.38600001]), 'Train', array([0.37305453]))
('minibatch Accuracy (i, batch number)', 13, 50, [0.38558182, 0.16205528, 0.65218395])
('minibatch Accuracy (i, batch number)', 13, 100, [0.3882909, 0.16264899, 0.6515518])
('minibatch Accuracy (i, batch number)', 13, 150, [0.38018182, 0.15934381, 0.650332])
('minibatch Accuracy (i, batch number)', 13, 200, [0.39454547, 0.1639187, 0.64884025])
('minibatch Accuracy (i, batch number)', 13, 250, [0.38076365, 0.1554585, 0.65144193])
('minibatch Accuracy (i, batch number)', 13, 300, [0.3752, 0.15692067, 0.65171236])
('minibatch Accuracy (i, batch number)', 13, 350, [0.38263637, 0.15458468, 0.654383])
('minibatch Accuracy (i, batch number)', 13, 400, [0.40434545, 0.15589447, 0.6479608])
('minibatch Accuracy (i, batch number)', 13, 450, [0.38676363, 0.15493906, 0.6508889])
('minibatch Accuracy (i, batch number)', 13, 500, [0.40752727, 0.16260923, 0.6499985])
('minibatch Accuracy (i, batch number)', 13, 550, [0.4077818, 0.1562264, 0.6515558])
('minibatch Accuracy (i, batch number)', 13, 600, [0.3765091, 0.16449182, 0.6526333])
('minibatch Accuracy (i, batch number)', 13, 650, [0.3878909, 0.15220259, 0.6513873])
('minibatch Accuracy (i, batch number)', 13, 700, [0.40105453, 0.15318839, 0.6517832])
('minibatch Accuracy (i, batch number)', 13, 750, [0.39294547, 0.15866968, 0.651479])
('minibatch Accuracy (i, batch number)', 13, 800, [0.38178182, 0.14936946, 0.6523352])
('minibatch Accuracy (i, batch number)', 13, 850, [0.39110908, 0.15264244, 0.6493909])
('Accuracy', 13, 'Test', array([0.39230001]), 'Train', array([0.37783638]))
('minibatch Accuracy (i, batch number)', 14, 50, [0.3991818, 0.14933857, 0.64897585])
('minibatch Accuracy (i, batch number)', 14, 100, [0.38114545, 0.16664605, 0.651186])
('minibatch Accuracy (i, batch number)', 14, 150, [0.39623636, 0.14794856, 0.6519639])
('minibatch Accuracy (i, batch number)', 14, 200, [0.40601817, 0.15089116, 0.65063184])
('minibatch Accuracy (i, batch number)', 14, 250, [0.3899091, 0.1475455, 0.6523197])
('minibatch Accuracy (i, batch number)', 14, 300, [0.3869091, 0.1490809, 0.65141195])
('minibatch Accuracy (i, batch number)', 14, 350, [0.39407274, 0.14559565, 0.65284926])
('minibatch Accuracy (i, batch number)', 14, 400, [0.4004909, 0.1462376, 0.6510172])
('minibatch Accuracy (i, batch number)', 14, 450, [0.3991818, 0.14624615, 0.65238225])
('minibatch Accuracy (i, batch number)', 14, 500, [0.39758182, 0.14603916, 0.6535642])
('minibatch Accuracy (i, batch number)', 14, 550, [0.39536363, 0.16124438, 0.65480804])
('minibatch Accuracy (i, batch number)', 14, 600, [0.38634545, 0.14595897, 0.65350485])
('minibatch Accuracy (i, batch number)', 14, 650, [0.38529092, 0.14077799, 0.6533867])
('minibatch Accuracy (i, batch number)', 14, 700, [0.37969092, 0.14567003, 0.65286624])
('minibatch Accuracy (i, batch number)', 14, 750, [0.3810182, 0.14024557, 0.6530312])
('minibatch Accuracy (i, batch number)', 14, 800, [0.39156362, 0.14708985, 0.65361273])
('minibatch Accuracy (i, batch number)', 14, 850, [0.37892726, 0.14435346, 0.65525687])
('Accuracy', 14, 'Test', array([0.38209999]), 'Train', array([0.36696362]))
('minibatch Accuracy (i, batch number)', 15, 50, [0.36885455, 0.14212571, 0.65791243])
('minibatch Accuracy (i, batch number)', 15, 100, [0.40312728, 0.1411289, 0.65466607])
('minibatch Accuracy (i, batch number)', 15, 150, [0.3860182, 0.14392461, 0.65487665])
('minibatch Accuracy (i, batch number)', 15, 200, [0.391, 0.14527239, 0.65614897])
('minibatch Accuracy (i, batch number)', 15, 250, [0.37105456, 0.13834779, 0.6571038])
('minibatch Accuracy (i, batch number)', 15, 300, [0.38912728, 0.1410595, 0.655607])
('minibatch Accuracy (i, batch number)', 15, 350, [0.3876909, 0.14091963, 0.65719944])
('minibatch Accuracy (i, batch number)', 15, 400, [0.37652728, 0.1420426, 0.65613383])
('minibatch Accuracy (i, batch number)', 15, 450, [0.39043635, 0.15482478, 0.6539512])
('minibatch Accuracy (i, batch number)', 15, 500, [0.37725455, 0.13914028, 0.656983])
('minibatch Accuracy (i, batch number)', 15, 550, [0.37772727, 0.140416, 0.65914685])
('minibatch Accuracy (i, batch number)', 15, 600, [0.40076363, 0.13926338, 0.6621121])
('minibatch Accuracy (i, batch number)', 15, 650, [0.40405455, 0.14070895, 0.6548005])
('minibatch Accuracy (i, batch number)', 15, 700, [0.3951091, 0.15502176, 0.65754807])
('minibatch Accuracy (i, batch number)', 15, 750, [0.39310908, 0.13433477, 0.65846384])
