Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 6, 150, [0.93094546, 0.230069])
('minibatch Accuracy (i, batch number)', 6, 200, [0.93125457, 0.22898196])
('minibatch Accuracy (i, batch number)', 6, 250, [0.9318727, 0.2277488])
('minibatch Accuracy (i, batch number)', 6, 300, [0.9321091, 0.22655767])
('minibatch Accuracy (i, batch number)', 6, 350, [0.9329818, 0.224081])
('minibatch Accuracy (i, batch number)', 6, 400, [0.9330182, 0.2226038])
('minibatch Accuracy (i, batch number)', 6, 450, [0.934, 0.22135048])
('minibatch Accuracy (i, batch number)', 6, 500, [0.9336, 0.22057706])
('minibatch Accuracy (i, batch number)', 6, 550, [0.9336, 0.21911328])
('minibatch Accuracy (i, batch number)', 6, 600, [0.9341091, 0.21727578])
('minibatch Accuracy (i, batch number)', 6, 650, [0.93438184, 0.2162864])
('minibatch Accuracy (i, batch number)', 6, 700, [0.9357455, 0.21386142])
('minibatch Accuracy (i, batch number)', 6, 750, [0.9358364, 0.21275207])
('minibatch Accuracy (i, batch number)', 6, 800, [0.9365818, 0.21120141])
('minibatch Accuracy (i, batch number)', 6, 850, [0.93634546, 0.210967])
('Accuracy', 6, 'Test', array([0.93440002]), 'Train', array([0.93660003]))
('minibatch Accuracy (i, batch number)', 7, 50, [0.9360545, 0.20976368])
('minibatch Accuracy (i, batch number)', 7, 100, [0.9366, 0.20931965])
('minibatch Accuracy (i, batch number)', 7, 150, [0.93718183, 0.20722528])
('minibatch Accuracy (i, batch number)', 7, 200, [0.9375455, 0.20583022])
('minibatch Accuracy (i, batch number)', 7, 250, [0.9383818, 0.20447695])
('minibatch Accuracy (i, batch number)', 7, 300, [0.9385273, 0.20294605])
('minibatch Accuracy (i, batch number)', 7, 350, [0.9387636, 0.20217322])
('minibatch Accuracy (i, batch number)', 7, 400, [0.93921816, 0.20055784])
('minibatch Accuracy (i, batch number)', 7, 450, [0.9391636, 0.19936171])
('minibatch Accuracy (i, batch number)', 7, 500, [0.9395091, 0.19914304])
('minibatch Accuracy (i, batch number)', 7, 550, [0.9404, 0.19731598])
('minibatch Accuracy (i, batch number)', 7, 600, [0.94085455, 0.1965413])
('minibatch Accuracy (i, batch number)', 7, 650, [0.94083637, 0.19574419])
('minibatch Accuracy (i, batch number)', 7, 700, [0.941, 0.19421266])
('minibatch Accuracy (i, batch number)', 7, 750, [0.9417818, 0.1923628])
('minibatch Accuracy (i, batch number)', 7, 800, [0.9419091, 0.19222838])
('minibatch Accuracy (i, batch number)', 7, 850, [0.94225454, 0.1914131])
('Accuracy', 7, 'Test', array([0.93900001]), 'Train', array([0.94250911]))
('minibatch Accuracy (i, batch number)', 8, 50, [0.9426727, 0.1895507])
('minibatch Accuracy (i, batch number)', 8, 100, [0.94272727, 0.18914242])
('minibatch Accuracy (i, batch number)', 8, 150, [0.94374543, 0.18712057])
('minibatch Accuracy (i, batch number)', 8, 200, [0.9430909, 0.18650876])
('minibatch Accuracy (i, batch number)', 8, 250, [0.94332725, 0.18644398])
('minibatch Accuracy (i, batch number)', 8, 300, [0.94338185, 0.18508574])
('minibatch Accuracy (i, batch number)', 8, 350, [0.9443091, 0.18350774])
('minibatch Accuracy (i, batch number)', 8, 400, [0.9448, 0.18310554])
('minibatch Accuracy (i, batch number)', 8, 450, [0.9450909, 0.18170282])
('minibatch Accuracy (i, batch number)', 8, 500, [0.9449818, 0.18117644])
('minibatch Accuracy (i, batch number)', 8, 550, [0.9453273, 0.1816672])
('minibatch Accuracy (i, batch number)', 8, 600, [0.94583637, 0.17884688])
('minibatch Accuracy (i, batch number)', 8, 650, [0.94585454, 0.17838989])
('minibatch Accuracy (i, batch number)', 8, 700, [0.9464, 0.17735155])
('minibatch Accuracy (i, batch number)', 8, 750, [0.9472182, 0.17479478])
('minibatch Accuracy (i, batch number)', 8, 800, [0.9463091, 0.17564595])
('minibatch Accuracy (i, batch number)', 8, 850, [0.9473636, 0.1745208])
('Accuracy', 8, 'Test', array([0.94099998]), 'Train', array([0.9472909]))
('minibatch Accuracy (i, batch number)', 9, 50, [0.94725454, 0.17333588])
('minibatch Accuracy (i, batch number)', 9, 100, [0.94734544, 0.17351873])
('minibatch Accuracy (i, batch number)', 9, 150, [0.9481636, 0.17184958])
('minibatch Accuracy (i, batch number)', 9, 200, [0.94838184, 0.17115729])
('minibatch Accuracy (i, batch number)', 9, 250, [0.94929093, 0.16947903])
('minibatch Accuracy (i, batch number)', 9, 300, [0.9489091, 0.16957103])
('minibatch Accuracy (i, batch number)', 9, 350, [0.9492, 0.16830987])
('minibatch Accuracy (i, batch number)', 9, 400, [0.94976366, 0.167903])
('minibatch Accuracy (i, batch number)', 9, 450, [0.94985455, 0.1674625])
('minibatch Accuracy (i, batch number)', 9, 500, [0.95001817, 0.1665801])
('minibatch Accuracy (i, batch number)', 9, 550, [0.95076364, 0.16436896])
